timestamp,open,high,low,close,volume
2020-05-28,208.03,220.4,204.85,219.85,1086.49771
2020-05-29,220.76,224.51,218.0,220.43,1327.91669
2020-05-30,220.43,246.85,218.99,243.53,3113.35864
2020-05-31,243.73,245.11,230.08,231.92,2243.54513
2020-06-01,231.67,250.59,230.75,248.0,2143.07545
2020-06-02,248.5,253.47,226.0,237.91,3024.12501
2020-06-03,237.17,245.0,233.75,244.6,790.62301
2020-06-04,244.78,246.5,236.27,243.56,729.28735
2020-06-05,242.5,247.82,239.47,240.06,666.36568
2020-06-06,239.83,244.22,238.06,242.32,622.62104
2020-06-07,241.3,244.89,234.81,244.6,3692.93967
2020-06-08,244.92,247.46,241.16,246.75,784.66995
2020-06-09,246.97,249.48,237.96,243.81,948.75632
2020-06-10,243.57,250.2,241.57,247.74,1231.52079
2020-06-11,247.89,249.85,226.02,230.27,2590.25444
2020-06-12,230.1,238.76,229.0,237.3,1012.93367
2020-06-13,237.66,238.73,234.61,238.22,244.33193
2020-06-14,238.22,238.22,230.47,231.81,382.8474
2020-06-15,231.27,233.24,218.5,230.52,1033.00326
2020-06-16,230.78,235.95,228.87,234.91,481.28345
2020-06-17,234.86,236.74,228.77,234.18,659.47327
2020-06-18,233.89,234.48,227.91,231.52,388.38015
2020-06-19,231.22,231.9,226.47,228.79,471.00207
2020-06-20,229.12,230.47,225.72,228.97,708.07045
2020-06-21,229.43,231.62,227.36,227.76,424.95041
2020-06-22,227.54,246.51,227.54,243.1,2005.61285
2020-06-23,243.83,244.86,240.86,242.93,220.56782
2020-06-24,243.02,249.66,231.48,234.5,2150.20899
2020-06-25,234.57,235.29,227.71,232.46,585.73119
2020-06-26,232.16,233.41,227.8,230.27,701.54472
2020-06-27,229.14,231.31,215.72,220.89,595.85352
2020-06-28,219.81,227.91,218.39,224.89,426.55445
2020-06-29,224.73,229.93,221.37,227.88,584.19812
2020-06-30,228.7,228.76,223.12,225.98,268.71509
2020-07-01,225.51,232.38,224.19,231.06,1812.85132
2020-07-02,231.28,231.81,222.84,226.46,1862.23477
2020-07-03,226.06,228.23,224.45,225.21,384.68603
2020-07-04,224.6,230.47,224.59,228.59,326.49055
2020-07-05,229.19,229.86,223.31,228.06,2518.93379
2020-07-06,227.87,241.76,226.86,241.66,2060.61293
2020-07-07,241.41,243.5,234.73,238.7,404.0706
2020-07-08,238.39,248.67,238.33,247.02,1097.46962
2020-07-09,246.8,247.58,237.0,241.89,633.62036
2020-07-10,241.0,241.64,236.46,241.13,1590.89892
2020-07-11,241.28,242.1,237.69,239.09,782.35434
2020-07-12,239.83,243.83,236.59,242.5,691.31646
2020-07-13,242.92,245.16,237.56,239.54,3442.76824
2020-07-14,239.52,242.38,237.06,240.58,1769.79237
2020-07-15,240.91,241.21,237.15,238.73,1822.08772
2020-07-16,238.73,239.43,230.06,233.79,508.66848
2020-07-17,233.22,234.67,231.9,232.78,269.2389
2020-07-18,232.53,236.77,232.44,235.99,478.61053
2020-07-19,235.7,239.82,233.44,239.19,910.86238
2020-07-20,239.66,240.08,234.46,236.12,3077.73603
2020-07-21,235.77,246.69,234.4,245.68,1973.55113
2020-07-22,245.6,269.35,242.0,263.55,1173.23675
2020-07-23,264.45,279.55,259.54,275.59,4011.06966
2020-07-24,275.59,287.48,268.05,279.72,2931.29608
2020-07-25,279.72,308.84,279.57,304.99,6184.31999
2020-07-26,305.16,320.36,300.45,310.55,3936.30345
2020-07-27,311.89,333.21,311.3,322.02,6751.33453
2020-07-28,322.88,326.8,306.17,316.92,2867.11998
2020-07-29,317.39,324.7,313.02,317.6,1290.60915
2020-07-30,317.8,341.75,314.46,334.84,2316.33989
2020-07-31,335.35,349.71,328.85,346.66,2651.06143
2020-08-01,346.53,392.73,343.77,387.33,6978.57591
2020-08-02,388.08,415.93,305.47,371.92,5568.60054
2020-08-03,373.34,397.81,366.89,386.7,2360.33674
2020-08-04,385.85,403.15,380.95,389.3,1131.41125
2020-08-05,390.62,407.16,385.0,400.79,2583.07573
2020-08-06,400.31,403.54,390.97,394.55,1225.38586
2020-08-07,394.98,398.4,376.81,379.55,899.08293
2020-08-08,377.97,396.86,376.04,396.86,1731.44364
2020-08-09,396.88,400.13,384.1,389.83,679.72267
2020-08-10,392.22,398.74,385.56,395.94,867.42087
2020-08-11,396.63,398.74,367.2,379.13,2352.28492
2020-08-12,379.14,389.19,366.27,387.39,743.61324
2020-08-13,386.28,431.29,377.12,423.14,3306.49576
2020-08-14,424.72,444.0,417.6,437.01,4990.1068
2020-08-15,438.82,442.64,426.87,432.35,1186.93187
2020-08-16,432.31,436.25,412.87,434.0,1203.74347
2020-08-17,434.19,446.0,420.87,429.49,2702.62621
2020-08-18,430.25,433.69,415.12,421.81,2368.35623
2020-08-19,422.13,426.0,393.65,407.44,1282.33803
2020-08-20,408.85,419.06,402.16,415.72,708.82479
2020-08-21,415.86,418.63,385.07,386.69,1633.06599
2020-08-22,386.9,396.75,380.08,395.85,893.13687
2020-08-23,395.87,396.78,383.84,390.7,688.27216
2020-08-24,391.29,409.95,387.58,408.47,795.61412
2020-08-25,407.72,408.53,370.1,383.84,1424.60361
2020-08-26,382.61,392.88,377.62,385.74,1718.15262
2020-08-27,385.35,396.89,371.85,382.87,1178.85024
2020-08-28,383.39,397.96,380.31,394.95,589.93015
2020-08-29,395.43,405.53,392.23,399.09,1830.32077
2020-08-30,398.74,429.58,398.2,429.02,908.72403
2020-08-31,429.59,438.72,418.34,433.95,1972.48193
2020-09-01,434.26,488.48,429.59,475.24,1771.07488
2020-09-02,475.19,481.11,419.61,439.61,4956.50396
2020-09-03,439.81,450.5,371.83,382.02,5445.94555
2020-09-04,382.02,399.67,359.01,385.61,3952.47537
2020-09-05,385.61,394.98,310.0,335.06,7721.91303
2020-09-06,335.47,359.8,317.07,352.88,4561.85353
2020-09-07,352.14,358.16,323.55,353.6,3877.33263
2020-09-08,353.9,356.43,325.56,336.93,2558.55917
2020-09-09,336.89,358.32,330.83,350.87,1703.88572
2020-09-10,350.55,377.0,350.35,367.49,3651.21752
2020-09-11,367.66,374.92,355.77,373.82,1474.3394
2020-09-12,374.3,388.11,365.5,388.11,1956.16023
2020-09-13,387.85,390.03,352.68,365.9,4445.66702
2020-09-14,365.01,384.46,355.96,376.41,2022.33147
2020-09-15,377.48,381.95,362.63,364.2,1272.64003
2020-09-16,363.75,372.46,355.31,365.23,624.37191
2020-09-17,364.58,394.14,363.7,388.39,3179.1084
2020-09-18,389.44,392.37,375.71,383.44,1012.25839
2020-09-19,384.19,387.95,376.93,385.52,458.38101
2020-09-20,385.26,385.26,364.95,371.08,1685.58119
2020-09-21,370.29,376.49,330.92,340.01,1448.53818
2020-09-22,340.88,347.13,335.97,343.97,935.34409
2020-09-23,344.32,344.43,313.61,320.59,1609.69018
2020-09-24,320.59,353.2,316.91,348.62,1220.78228
2020-09-25,348.75,357.94,337.6,351.04,1125.84634
2020-09-26,351.46,356.16,346.15,353.69,687.84869
2020-09-27,354.35,362.08,347.93,357.85,598.83068
2020-09-28,358.11,368.18,352.45,354.05,1770.8724
2020-09-29,353.21,360.52,350.51,359.28,1597.26725
2020-09-30,359.73,361.52,352.08,359.77,409.26025
2020-10-01,359.77,368.92,345.86,352.53,2861.519
2020-10-02,352.02,353.88,334.61,345.38,832.31268
2020-10-03,344.87,350.64,343.85,345.84,378.33076
2020-10-04,345.14,353.98,344.1,352.64,698.15925
2020-10-05,353.52,355.81,349.0,353.41,323.62212
2020-10-06,354.0,354.93,337.1,340.24,2574.73862
2020-10-07,340.56,342.58,333.51,341.21,500.93076
2020-10-08,341.78,353.11,334.42,350.84,1879.22431
2020-10-09,350.71,368.15,347.5,365.87,621.6619
2020-10-10,365.21,378.13,364.39,370.24,1075.27541
2020-10-11,370.81,377.43,369.0,373.28,494.563
2020-10-12,373.86,394.41,366.03,386.62,1073.40111
2020-10-13,386.66,387.45,374.98,380.86,772.50366
2020-10-14,381.25,387.14,373.67,379.45,1276.36779
2020-10-15,378.73,380.91,370.01,376.86,709.99084
2020-10-16,377.48,380.01,360.84,365.27,2693.94458
2020-10-17,365.45,370.0,363.55,368.66,379.08219
2020-10-18,367.96,378.55,367.4,378.55,1312.27231
2020-10-19,378.6,383.82,373.23,379.05,549.16663
2020-10-20,378.37,380.43,365.87,368.27,1605.45805
2020-10-21,368.7,400.8,367.88,391.34,2774.94396
2020-10-22,391.83,420.25,391.76,414.29,1193.68268
2020-10-23,412.19,419.37,401.8,408.13,780.8141
2020-10-24,409.55,416.24,407.51,412.17,457.11073
2020-10-25,411.77,417.17,402.0,405.98,716.34889
2020-10-26,405.78,411.15,382.62,393.39,1770.98367
2020-10-27,392.46,409.91,390.59,403.3,1432.91187
2020-10-28,403.04,408.98,380.85,388.68,1824.47781
2020-10-29,388.0,393.48,380.62,386.81,629.31635
2020-10-30,387.42,391.65,373.6,383.32,1543.29431
2020-10-31,382.43,393.84,380.47,386.8,2025.8177
2020-11-01,385.07,397.45,385.0,396.09,1387.71897
